record_id,status,confidence,rule_code,requires_review,exception_code,delay_flag,evidence
ORD-2026070001,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_6210B784BAA1C6', 'settlement_id': 'setl_89E3995AB35331', 'amount_paise': 1364713}"
ORD-2026070002,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_153D3A3F56BC09', 'settlement_id': 'setl_AD689CF88759F1', 'amount_paise': 2717907}"
ORD-2026070003,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_0D2329D9FA09CA', 'settlement_id': 'setl_F3D2273A374032', 'amount_paise': 798793}"
ORD-2026070004,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_A1CBB7236CE857', 'settlement_id': 'setl_9E0D54254F4F81', 'amount_paise': 107698}"
ORD-2026070005,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_EC15426979E488', 'settlement_id': 'setl_DD2A7AFEBD11E1', 'amount_paise': 135230}"
ORD-2026070006,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_CC4779447FC737', 'settlement_id': 'setl_1E01B04F41F1FC', 'amount_paise': 2716735}"
ORD-2026070007,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_D04DE5AA6A002D', 'settlement_id': 'setl_2E64CA6E17B8D9', 'amount_paise': 348281}"
ORD-2026070008,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_6230A1F33FEDB0', 'settlement_id': 'setl_F5870B9FC062B6', 'amount_paise': 3381274}"
ORD-2026070009,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_28CFBCC79C6ABC', 'settlement_id': 'setl_ADA85C5AADA14B', 'amount_paise': 1852523}"
ORD-2026070010,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_DDC4418EC0ADB9', 'settlement_id': 'setl_DC4A15046882CC', 'amount_paise': 191081}"
ORD-2026070011,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_77D073CD6AB5D7', 'settlement_id': 'setl_9EAB75CDA04002', 'amount_paise': 257769}"
ORD-2026070012,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_B5FE9583F2C4A1', 'settlement_id': 'setl_31AA3D014B906D', 'amount_paise': 1464993}"
ORD-2026070013,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_35260731400AFD', 'settlement_id': 'setl_D8270E93929A15', 'amount_paise': 780240}"
ORD-2026070014,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_7E7EE6C4CBD7FB', 'settlement_id': 'setl_BBD5928AA7BA08', 'amount_paise': 859526}"
ORD-2026070015,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_C169B0E48E25E5', 'settlement_id': 'setl_70679DE5D67C47', 'amount_paise': 983236}"
ORD-2026070016,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_D0B11B86F5BFED', 'settlement_id': 'setl_AD8929E1BE5109', 'amount_paise': 4014372}"
ORD-2026070017,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_C5EEC892571043', 'settlement_id': 'setl_CF36AE3E57A7AA', 'amount_paise': 57412}"
ORD-2026070018,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_3C402A90FD68CC', 'settlement_id': 'setl_CAFDD23ABBA61B', 'amount_paise': 71569}"
ORD-2026070019,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_F1929EFF21FBA8', 'settlement_id': 'setl_CF4763F5491FFA', 'amount_paise': 3726528}"
ORD-2026070020,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_D05B0AC1606C7F', 'settlement_id': 'setl_8C482DF23A04C2', 'amount_paise': 2596052}"
ORD-2026070021,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_4282B268A5D69D', 'settlement_id': 'setl_180D888B9132CC', 'amount_paise': 1492134}"
ORD-2026070022,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_EFDB92466554D1', 'settlement_id': 'setl_12F31FE2723D21', 'amount_paise': 1272443}"
ORD-2026070023,EXACT_MATCH,100,ALL_EXACT,False,,False,"{'payment_id': 'pay_6FB3C23F19B78B', 'settlement_id': 'setl_CCF71D1AE7FE9B', 'amount_paise': 201334}"
